,instance_id,input.text,predicted_text_0,stats.exact_match_0,num_words_0,predicted_text_1,stats.exact_match_1,num_words_1,predicted_text_2,stats.exact_match_2,num_words_2,predicted_text_3,stats.exact_match_3,num_words_3,predicted_text_4,stats.exact_match_4,num_words_4,predicted_text_5,stats.exact_match_5,num_words_5,predicted_text_6,stats.exact_match_6,num_words_6,predicted_text_7,stats.exact_match_7,num_words_7,predicted_text_8,stats.exact_match_8,num_words_8,predicted_text_9,stats.exact_match_9,num_words_9,predicted_text_10,stats.exact_match_10,num_words_10,predicted_text_11,stats.exact_match_11,num_words_11,predicted_text_12,stats.exact_match_12,num_words_12,predicted_text_13,stats.exact_match_13,num_words_13,predicted_text_14,stats.exact_match_14,num_words_14,predicted_text_15,stats.exact_match_15,num_words_15,predicted_text_16,stats.exact_match_16,num_words_16,predicted_text_17,stats.exact_match_17,num_words_17,predicted_text_18,stats.exact_match_18,num_words_18,predicted_text_19,stats.exact_match_19,num_words_19,predicted_text_20,stats.exact_match_20,num_words_20,predicted_text_21,stats.exact_match_21,num_words_21,predicted_text_22,stats.exact_match_22,num_words_22,predicted_text_23,stats.exact_match_23,num_words_23,predicted_text_24,stats.exact_match_24,num_words_24,predicted_text_25,stats.exact_match_25,num_words_25,predicted_text_26,stats.exact_match_26,num_words_26,predicted_text_27,stats.exact_match_27,num_words_27,predicted_text_28,stats.exact_match_28,num_words_28,predicted_text_29,stats.exact_match_29,num_words_29,std,agreement_level
48,id42,What are the key elements of the Liberal approach to US foreign policy?,A,1.0,14,A,1.0,14,A,1.0,14,A,1.0,14, B,0.0,14,A,1.0,14,A,1.0,14, A,1.0,14, A,1.0,14, A,1.0,14,A,1.0,14, A,1.0,14, A,1.0,14, A,1.0,14, A,1.0,14, A,1.0,14,A,1.0,14, A,1.0,14,A,1.0,14,A,1.0,14,A,1.0,14,A,1.0,14,A,1.0,14, A,1.0,14, A,1.0,14, A,1.0,14, A,1.0,14, A,1.0,14, A,1.0,14,A,1.0,14,0.18257418583505525,High
47,id41,"The idea that war is ""the continuation of politics by other means"" helps to capture",C,1.0,16,C,1.0,16,C,1.0,16,C,1.0,16, D,0.0,16,C,1.0,16,C,1.0,16, C,1.0,16, C,1.0,16, C,1.0,16,C,1.0,16, C,1.0,16, C,1.0,16, C,1.0,16, C,1.0,16, C,1.0,16,C,1.0,16, C,1.0,16,C,1.0,16,C,1.0,16,C,1.0,16,C,1.0,16,C,1.0,16, C,1.0,16, C,1.0,16, C,1.0,16, C,1.0,16, C,1.0,16, C,1.0,16,C,1.0,16,0.18257418583505525,High
88,id79,"According to Rosenau, which factor is important to consider in explaining the foreign policy behavior of the United States?",A,0.0,20,D,1.0,20,D,1.0,20,D,1.0,20, D,1.0,20,D,1.0,20,D,1.0,20, D,1.0,20, D,1.0,20, D,1.0,20,D,1.0,20, D,1.0,20, D,1.0,20, D,1.0,20, D,1.0,20, D,1.0,20,D,1.0,20, D,1.0,20,D,1.0,20,D,1.0,20,D,1.0,20,D,1.0,20,D,1.0,20, D,1.0,20, D,1.0,20, D,1.0,20, D,1.0,20, D,1.0,20, D,1.0,20,D,1.0,20,0.18257418583505525,High
37,id31,What did the Moscow Treaty on Strategic Offensive Reductions do?,B,1.0,11,B,1.0,11,B,1.0,11,B,1.0,11, B,1.0,11,B,1.0,11,B,1.0,11, B,1.0,11, A,0.0,11, B,1.0,11,B,1.0,11, B,1.0,11, B,1.0,11, B,1.0,11, B,1.0,11, B,1.0,11,B,1.0,11, B,1.0,11,B,1.0,11,B,1.0,11,B,1.0,11,B,1.0,11,B,1.0,11, B,1.0,11, B,1.0,11, B,1.0,11, B,1.0,11, B,1.0,11, B,1.0,11,B,1.0,11,0.18257418583505527,High
82,id73,Global and regional international trade agreements work by using which of the following mechanisms?,D,1.0,15,D,1.0,15,D,1.0,15,D,1.0,15, D,1.0,15,D,1.0,15,D,1.0,15, D,1.0,15, A,0.0,15, D,1.0,15,D,1.0,15, D,1.0,15, D,1.0,15, D,1.0,15, D,1.0,15, D,1.0,15,D,1.0,15, D,1.0,15,D,1.0,15,D,1.0,15,D,1.0,15,D,1.0,15,D,1.0,15, D,1.0,15, D,1.0,15, D,1.0,15, D,1.0,15, D,1.0,15, D,1.0,15,D,1.0,15,0.18257418583505527,High
81,id72,What was meant by the term 'American multiplication table'?,D,0.0,10,D,0.0,10,D,0.0,10,D,0.0,10, B,0.0,10,C,0.0,10,D,0.0,10, D,0.0,10, B,0.0,10, D,0.0,10,C,0.0,10, D,0.0,10, C,0.0,10, D,0.0,10, C,0.0,10, D,0.0,10,D,0.0,10, B,0.0,10,D,0.0,10,D,0.0,10,D,0.0,10,D,0.0,10,D,0.0,10, D,0.0,10, A,1.0,10, C,0.0,10, C,0.0,10, C,0.0,10, D,0.0,10,D,0.0,10,0.18257418583505533,High
0,id10,What is soft power?,B,1.0,5,B,1.0,5,B,1.0,5,B,1.0,5, C,0.0,5,B,1.0,5,B,1.0,5, B,1.0,5, D,0.0,5, B,1.0,5,B,1.0,5, B,1.0,5, B,1.0,5, B,1.0,5, B,1.0,5, B,1.0,5,B,1.0,5, B,1.0,5,B,1.0,5,B,1.0,5,B,1.0,5,B,1.0,5,B,1.0,5, B,1.0,5, B,1.0,5, B,1.0,5, B,1.0,5, B,1.0,5, B,1.0,5,B,1.0,5,0.2537081317024625,High
54,id48,Which of the following are possible constraints on US foreign policy decision making?,D,1.0,14,D,1.0,14,D,1.0,14,D,1.0,14, B,0.0,14,D,1.0,14,D,1.0,14, D,1.0,14, A,0.0,14, D,1.0,14,D,1.0,14, D,1.0,14, D,1.0,14, D,1.0,14, D,1.0,14, D,1.0,14,D,1.0,14, D,1.0,14,D,1.0,14,D,1.0,14,D,1.0,14,D,1.0,14,D,1.0,14, D,1.0,14, D,1.0,14, D,1.0,14, D,1.0,14, D,1.0,14, D,1.0,14,D,1.0,14,0.2537081317024625,High
71,id63,The Vietnam War can be understood as,D,1.0,8,D,1.0,8,D,1.0,8,D,1.0,8, A,0.0,8,D,1.0,8,D,1.0,8, D,1.0,8, B,0.0,8, D,1.0,8,D,1.0,8, D,1.0,8, D,1.0,8, D,1.0,8, D,1.0,8, D,1.0,8,D,1.0,8, D,1.0,8,D,1.0,8,D,1.0,8,D,1.0,8,D,1.0,8,D,1.0,8, D,1.0,8, D,1.0,8, D,1.0,8, D,1.0,8, D,1.0,8, D,1.0,8,D,1.0,8,0.2537081317024625,High
50,id44,What case did President Eisenhower make against the 'military-industrial complex' in his farewell speech?,C,1.0,15,C,1.0,15,C,1.0,15,C,1.0,15, B,0.0,15,C,1.0,15,C,1.0,15, C,1.0,15, C,1.0,15, C,1.0,15,C,1.0,15, C,1.0,15, C,1.0,15, C,1.0,15, C,1.0,15, C,1.0,15,C,1.0,15, B,0.0,15,C,1.0,15,C,1.0,15,C,1.0,15,C,1.0,15,C,1.0,15, C,1.0,15, C,1.0,15, C,1.0,15, C,1.0,15, C,1.0,15, C,1.0,15,C,1.0,15,0.2537081317024625,High
