,instance_id,input.text,predicted_text_0,stats.quasi_exact_match_0,num_words_0,predicted_text_1,stats.quasi_exact_match_1,num_words_1,predicted_text_2,stats.quasi_exact_match_2,num_words_2,predicted_text_3,stats.quasi_exact_match_3,num_words_3,predicted_text_4,stats.quasi_exact_match_4,num_words_4,predicted_text_5,stats.quasi_exact_match_5,num_words_5,predicted_text_6,stats.quasi_exact_match_6,num_words_6,predicted_text_7,stats.quasi_exact_match_7,num_words_7,predicted_text_8,stats.quasi_exact_match_8,num_words_8,predicted_text_9,stats.quasi_exact_match_9,num_words_9,predicted_text_10,stats.quasi_exact_match_10,num_words_10,predicted_text_11,stats.quasi_exact_match_11,num_words_11,predicted_text_12,stats.quasi_exact_match_12,num_words_12,predicted_text_13,stats.quasi_exact_match_13,num_words_13,predicted_text_14,stats.quasi_exact_match_14,num_words_14,predicted_text_15,stats.quasi_exact_match_15,num_words_15,predicted_text_16,stats.quasi_exact_match_16,num_words_16,predicted_text_17,stats.quasi_exact_match_17,num_words_17,predicted_text_18,stats.quasi_exact_match_18,num_words_18,predicted_text_19,stats.quasi_exact_match_19,num_words_19,predicted_text_20,stats.quasi_exact_match_20,num_words_20,predicted_text_21,stats.quasi_exact_match_21,num_words_21,predicted_text_22,stats.quasi_exact_match_22,num_words_22,predicted_text_23,stats.quasi_exact_match_23,num_words_23,predicted_text_24,stats.quasi_exact_match_24,num_words_24,predicted_text_25,stats.quasi_exact_match_25,num_words_25,predicted_text_26,stats.quasi_exact_match_26,num_words_26,predicted_text_27,stats.quasi_exact_match_27,num_words_27,predicted_text_28,stats.quasi_exact_match_28,num_words_28,predicted_text_29,stats.quasi_exact_match_29,num_words_29,std,agreement_level
691,id11950,"A 71-year-old woman with type 2 diabetes mellitus and hypertension comes to the emergency department because of a 3-day history of intermittent abdominal pain, vomiting, and obstipation. She has had multiple episodes of upper abdominal pain over the past year. She has smoked 1 pack of cigarettes daily for the past 30 years. Physical examination shows a distended abdomen with diffuse tenderness and high-pitched bowel sounds. An x-ray of the abdomen shows a dilated bowel, multiple air-fluid levels, and branching radiolucencies in the right infra-diaphragmatic region. Which of the following is the most likely cause of this patient's condition?",C,0.0,100, A,0.0,100,A,0.0,100, C,0.0,100,C,0.0,100,A,0.0,100, A,0.0,100, C,0.0,100,C,0.0,100, C,0.0,100,C,0.0,100, A,0.0,100, C,0.0,100, A,0.0,100,D,0.0,100,A,0.0,100, D,0.0,100,A,0.0,100, C,0.0,100, D,0.0,100,A,0.0,100,A,0.0,100,C,0.0,100,A,0.0,100, C,0.0,100, D,0.0,100, D,0.0,100, C,0.0,100, C,0.0,100,A,0.0,100,0.0,High
724,id12032,A 27-year-old male suddenly develops severe abdominal cramping and bloody diarrhea. The patient reports consuming undercooked ground beef four days prior to the onset of the symptoms. Which of the following best describes the toxin-mediated mechanism of this disease process?,A,0.0,41, C,0.0,41,A,0.0,41, C,0.0,41,A,0.0,41,A,0.0,41, A,0.0,41, C,0.0,41,A,0.0,41, A,0.0,41,A,0.0,41, A,0.0,41, A,0.0,41, A,0.0,41,A,0.0,41,A,0.0,41, C,0.0,41,C,0.0,41, A,0.0,41, A,0.0,41,A,0.0,41,C,0.0,41,A,0.0,41,A,0.0,41, A,0.0,41, C,0.0,41, C,0.0,41, A,0.0,41, A,0.0,41,A,0.0,41,0.0,High
284,id10905,"An 8-year-old boy is brought to the physician for evaluation of an excessive bleeding after undergoing a dental procedure. Laboratory studies show a platelet count of 195,000/mm3, a partial thromboplastin time of 44 sec, and a prothrombin time of 12 sec. A one-stage clotting assay shows a decreased factor VIII. Therapy with a drug that acts on endothelial cells is initiated. This drug is most likely to result in which of the following?",D,0.0,74, D,0.0,74,D,0.0,74, B,0.0,74,D,0.0,74,D,0.0,74, D,0.0,74, D,0.0,74,D,0.0,74, A,0.0,74,D,0.0,74, A,0.0,74, D,0.0,74, D,0.0,74,D,0.0,74,A,0.0,74, D,0.0,74,D,0.0,74, D,0.0,74, D,0.0,74,D,0.0,74,D,0.0,74,A,0.0,74,D,0.0,74, B,0.0,74, D,0.0,74, D,0.0,74, D,0.0,74, A,0.0,74,A,0.0,74,0.0,High
840,id12338,An academic obstetrician is conducting a retrospective cohort study that evaluates the risk of placenta accreta at all statewide medical centers. Per chart review he finds that a prior cesarian birth is associated with a statistically significant increased risk of placenta accreta. The relative risk associated with this finding is 1.23. The associated p-value is 0.03. Which of the following statements is the best interpretation of the reported association in the context of the study?,C,0.0,76, B,0.0,76,C,0.0,76, B,0.0,76,C,0.0,76,C,0.0,76, C,0.0,76, C,0.0,76,C,0.0,76, C,0.0,76,C,0.0,76, D,0.0,76, C,0.0,76, C,0.0,76,C,0.0,76,B,0.0,76, C,0.0,76,C,0.0,76, C,0.0,76, C,0.0,76,D,0.0,76,C,0.0,76,B,0.0,76,D,0.0,76, B,0.0,76, B,0.0,76, C,0.0,76, C,0.0,76, C,0.0,76,C,0.0,76,0.0,High
938,id12585,"A 23-year-old man comes to the physician because of a 1-week history of anorexia, nausea, upper abdominal pain, and dark-colored urine. He recently returned from a trip to Belize. His temperature is 38.3°C (100.9°F). Physical examination shows scleral icterus and tender hepatomegaly. Serum studies show markedly elevated transaminases and anti-hepatitis A virus antibodies. In this patient, infected cells express more MHC class I molecules on their surfaces. This cellular event is primarily induced by a molecule that is also responsible for which of the following changes?",A,0.0,87, C,0.0,87,B,0.0,87, C,0.0,87,A,0.0,87,C,0.0,87, C,0.0,87, A,0.0,87,A,0.0,87, C,0.0,87,A,0.0,87, C,0.0,87, C,0.0,87, B,0.0,87,B,0.0,87,C,0.0,87, C,0.0,87,A,0.0,87, A,0.0,87, A,0.0,87,A,0.0,87,A,0.0,87,B,0.0,87,A,0.0,87, A,0.0,87, B,0.0,87, B,0.0,87, C,0.0,87, C,0.0,87,A,0.0,87,0.0,High
886,id12453,"A 45-year-old woman comes to the physician because of fatigue, abdominal cramps, watery diarrhea, and a weight loss of 4 kg (8.8 lb) over the last 4 months. She has recently avoided drinking alcohol and eating spicy food because it worsens her diarrhea and causes episodes of heart palpitations and reddening of the face and neck. She takes lisinopril for hypertension. Her temperature is 36.5°C (97.7°F), pulse is 98/min, and blood pressure is 149/90 mm Hg. The abdomen is soft, and there is mild tenderness to palpation with no guarding or rebound. Laboratory studies show an increased urine 5-hydroxyindoleacetic acid concentration. Further evaluation of this patient will most likely show which of the following?",A,0.0,115, B,0.0,115,B,0.0,115, C,0.0,115,B,0.0,115,B,0.0,115, A,0.0,115, C,0.0,115,A,0.0,115, B,0.0,115,A,0.0,115, C,0.0,115, B,0.0,115, A,0.0,115,C,0.0,115,C,0.0,115, B,0.0,115,B,0.0,115, B,0.0,115, A,0.0,115,B,0.0,115,A,0.0,115,C,0.0,115,B,0.0,115, A,0.0,115, A,0.0,115, C,0.0,115, A,0.0,115, B,0.0,115,A,0.0,115,0.0,High
351,id11092,"A 25-year-old male rugby player presents to the emergency room complaining of a severe headache. He is accompanied by his teammate who reports that he had a head-to-head collision with another player and briefly passed out before regaining consciousness. His past medical history is significant for a pilocytic astrocytoma as a child treated successfully with surgery. His family history is notable for stroke in his father. His temperature is 98.9°F (37.2°C), blood pressure is 160/90 mmHg, pulse is 60/min, and respirations are 20/min. On examination, he is lethargic but oriented to person, place, and time. The affected vessel in this patient directly branches from which of the following vessels?",B,0.0,110, B,0.0,110,B,0.0,110, C,0.0,110,B,0.0,110,B,0.0,110, B,0.0,110, C,0.0,110,B,0.0,110, D,0.0,110,B,0.0,110, B,0.0,110, B,0.0,110, C,0.0,110,B,0.0,110,B,0.0,110, C,0.0,110,B,0.0,110, B,0.0,110, B,0.0,110,B,0.0,110,B,0.0,110,B,0.0,110,B,0.0,110, B,0.0,110, C,0.0,110, B,0.0,110, B,0.0,110, D,0.0,110,B,0.0,110,0.0,High
976,id12672,A 53-year-old man comes to the physician for a follow-up appointment three days after being prescribed a selective alpha-1 agonist. He reports improvement in his symptoms and has not experienced any adverse effects. This drug was most likely prescribed for which of the following conditions?,B,0.0,46, B,0.0,46,B,0.0,46, B,0.0,46,B,0.0,46,B,0.0,46, B,0.0,46, B,0.0,46,B,0.0,46, B,0.0,46,B,0.0,46, A,0.0,46, B,0.0,46, B,0.0,46,B,0.0,46,B,0.0,46, B,0.0,46,B,0.0,46, B,0.0,46, A,0.0,46,B,0.0,46,B,0.0,46,B,0.0,46,B,0.0,46, A,0.0,46, A,0.0,46, A,0.0,46, B,0.0,46, B,0.0,46,A,0.0,46,0.0,High
571,id11662,"In order to assess the feasibility and evaluate the outcomes of cerclage wiring as a supportive approach to osteosynthesis in femur fractures, a group of orthopedic surgeons studied 14 patients with primary and periprosthetic fractures of the thigh bone. Parameters such as patient demographic, type of implant, number of wires used, fracture union rate, and potential complications were thoroughly recorded and analyzed in all the patients, with a mean duration of patient follow-up of 16 months. Union was achieved in all patients with a mean duration of 90 days, and there were no complications found in patients included in the study. The authors were satisfied with their findings and, due to the prospective nature of their research, submitted their study to a journal as a cohort study (which they noted in the study title as well). However, the journal editor returned the article, suggesting that it should be submitted as a case series instead. The editor made this suggestion to the authors for which of the following reasons?",B,0.0,169, B,0.0,169,B,0.0,169, C,0.0,169,B,0.0,169,B,0.0,169, A,0.0,169, B,0.0,169,B,0.0,169, B,0.0,169,B,0.0,169, A,0.0,169, B,0.0,169, B,0.0,169,B,0.0,169,B,0.0,169, B,0.0,169,B,0.0,169, B,0.0,169, B,0.0,169,B,0.0,169,B,0.0,169,B,0.0,169,B,0.0,169, C,0.0,169, C,0.0,169, B,0.0,169, B,0.0,169, B,0.0,169,A,0.0,169,0.0,High
346,id11083,"A 7-year-old boy is brought to the physician because of decreased vision, hearing, and speaking over the past 3 months. During this time, he has also had difficulty walking, concentrating, drawing, and feeding himself. His maternal male cousin had similar complaints and died at the age of 5 years. Examination shows hyperpigmented skin and nails. His speech is dysarthric. Neurologic examination shows an ataxic gait, spasticity, and decreased muscle strength in all extremities. Fundoscopy shows optic atrophy. Which of the following is the most likely cause of this patient's symptoms?",D,0.0,91, D,0.0,91,D,0.0,91, C,0.0,91,D,0.0,91,B,1.0,91, A,0.0,91, C,0.0,91,C,0.0,91, D,0.0,91,D,0.0,91, A,0.0,91, A,0.0,91, C,0.0,91,C,0.0,91,C,0.0,91, D,0.0,91,D,0.0,91, C,0.0,91, D,0.0,91,D,0.0,91,D,0.0,91,C,0.0,91,A,0.0,91, A,0.0,91, D,0.0,91, A,0.0,91, C,0.0,91, D,0.0,91,A,0.0,91,0.18257418583505525,High
