,instance_id,input.text,predicted_text_0,stats.exact_match_0,num_words_0,predicted_text_1,stats.exact_match_1,num_words_1,predicted_text_2,stats.exact_match_2,num_words_2,predicted_text_3,stats.exact_match_3,num_words_3,predicted_text_4,stats.exact_match_4,num_words_4,predicted_text_5,stats.exact_match_5,num_words_5,predicted_text_6,stats.exact_match_6,num_words_6,predicted_text_7,stats.exact_match_7,num_words_7,predicted_text_8,stats.exact_match_8,num_words_8,predicted_text_9,stats.exact_match_9,num_words_9,predicted_text_10,stats.exact_match_10,num_words_10,predicted_text_11,stats.exact_match_11,num_words_11,predicted_text_12,stats.exact_match_12,num_words_12,predicted_text_13,stats.exact_match_13,num_words_13,predicted_text_14,stats.exact_match_14,num_words_14,predicted_text_15,stats.exact_match_15,num_words_15,predicted_text_16,stats.exact_match_16,num_words_16,predicted_text_17,stats.exact_match_17,num_words_17,predicted_text_18,stats.exact_match_18,num_words_18,predicted_text_19,stats.exact_match_19,num_words_19,predicted_text_20,stats.exact_match_20,num_words_20,predicted_text_21,stats.exact_match_21,num_words_21,predicted_text_22,stats.exact_match_22,num_words_22,predicted_text_23,stats.exact_match_23,num_words_23,predicted_text_24,stats.exact_match_24,num_words_24,predicted_text_25,stats.exact_match_25,num_words_25,predicted_text_26,stats.exact_match_26,num_words_26,predicted_text_27,stats.exact_match_27,num_words_27,predicted_text_28,stats.exact_match_28,num_words_28,predicted_text_29,stats.exact_match_29,num_words_29,std,agreement_level
106,id98,A PO3- radical produces a pair of lines separated by 280 MHz with giso = 2.005. Calculate the expected resonant field positions of both lines in the X-band EPR spectrum (ν = 9.5 GHz).,To,0.0,35,A,0.0,35,A,0.0,35, A,0.0,35,A,0.0,35, C,0.0,35,B,0.0,35, A,0.0,35,A,0.0,35, C,0.0,35,B,0.0,35,C,0.0,35, C,0.0,35, C,0.0,35, C,0.0,35, A,0.0,35, A,0.0,35, C,0.0,35,A,0.0,35, C,0.0,35,C,0.0,35,A,0.0,35, A,0.0,35,A,0.0,35,C,0.0,35, C,0.0,35, C,0.0,35,A,0.0,35, C,0.0,35, C,0.0,35,0.0,High
101,id93,Which of the following metal ions cannot be used as a paramagnetic quencher?,D,0.0,14,D,0.0,14,D,0.0,14, A,0.0,14,D,0.0,14, D,0.0,14,D,0.0,14, A,0.0,14,D,0.0,14, D,0.0,14,A,0.0,14,D,0.0,14, D,0.0,14, D,0.0,14, D,0.0,14, C,0.0,14, D,0.0,14, D,0.0,14,D,0.0,14, A,0.0,14,D,0.0,14,D,0.0,14, C,0.0,14,D,0.0,14,D,0.0,14, D,0.0,14, D,0.0,14,D,0.0,14, D,0.0,14, D,0.0,14,0.0,High
34,id31,Which one of the following statements is true:,A,0.0,9,B,0.0,9,B,0.0,9, B,0.0,9,D,0.0,9, C,1.0,9,B,0.0,9, A,0.0,9,D,0.0,9, B,0.0,9,A,0.0,9,B,0.0,9, B,0.0,9, B,0.0,9, B,0.0,9, A,0.0,9, B,0.0,9, B,0.0,9,D,0.0,9, B,0.0,9,D,0.0,9,B,0.0,9, A,0.0,9,B,0.0,9,B,0.0,9, B,0.0,9, B,0.0,9,D,0.0,9, D,0.0,9, B,0.0,9,0.18257418583505525,High
31,id28,Calculate the magnetic moment (μI) of a 13C nucleus.,The,0.0,10,A,0.0,10,B,0.0,10, A,0.0,10,D,0.0,10, C,1.0,10,A,0.0,10, B,0.0,10,A,0.0,10, B,0.0,10,A,0.0,10,D,0.0,10, A,0.0,10, A,0.0,10, A,0.0,10, B,0.0,10, A,0.0,10, A,0.0,10,D,0.0,10, A,0.0,10,B,0.0,10,A,0.0,10, B,0.0,10,B,0.0,10,B,0.0,10, A,0.0,10, A,0.0,10,A,0.0,10, A,0.0,10, B,0.0,10,0.18257418583505525,High
62,id58,The 13C chemical shifts of benzene and chloroform are 128.4 ppm and 77.2 ppm respectively. What is the difference in the 13C NMR frequencies of the two compounds on a 600 MHz spectrometer?,To,0.0,34,C,0.0,34,C,0.0,34, B,0.0,34,C,0.0,34, C,0.0,34,C,0.0,34, C,0.0,34,B,0.0,34, C,0.0,34,A,1.0,34,C,0.0,34, C,0.0,34, C,0.0,34, C,0.0,34, B,0.0,34, C,0.0,34, C,0.0,34,B,0.0,34, B,0.0,34,B,0.0,34,B,0.0,34, C,0.0,34,C,0.0,34,C,0.0,34, D,0.0,34, B,0.0,34,C,0.0,34, C,0.0,34, B,0.0,34,0.18257418583505527,High
55,id51,What is the maximum value of the z-component of the spin angular momentum of 43Ca? [I = 7⁄2],The,0.0,19,C,0.0,19,C,0.0,19, B,0.0,19,C,0.0,19, B,0.0,19,C,0.0,19, A,1.0,19,C,0.0,19, B,0.0,19,B,0.0,19,D,0.0,19, C,0.0,19, D,0.0,19, D,0.0,19, B,0.0,19, B,0.0,19, B,0.0,19,D,0.0,19, C,0.0,19,C,0.0,19,D,0.0,19, C,0.0,19,B,0.0,19,C,0.0,19, D,0.0,19, D,0.0,19,C,0.0,19, C,0.0,19, B,0.0,19,0.18257418583505527,High
30,id27,Which one sentence explains most accurately why spin trapping is often used to detect free radical intermediates?,C,0.0,18,C,0.0,18,C,0.0,18, C,0.0,18,C,0.0,18, B,0.0,18,C,0.0,18, A,0.0,18,C,0.0,18, C,0.0,18,C,0.0,18,C,0.0,18, C,0.0,18, C,0.0,18, C,0.0,18, D,1.0,18, C,0.0,18, C,0.0,18,C,0.0,18, A,0.0,18,C,0.0,18,C,0.0,18, C,0.0,18,C,0.0,18,C,0.0,18, C,0.0,18, C,0.0,18,C,0.0,18, C,0.0,18, C,0.0,18,0.1825741858350553,High
86,id8,Reduction of D-xylose with NaBH4 yields a product that is a,B,0.0,12,B,0.0,12,B,0.0,12, B,0.0,12,B,0.0,12, C,0.0,12,B,0.0,12, B,0.0,12,A,0.0,12, B,0.0,12,B,0.0,12,B,0.0,12, A,0.0,12, C,0.0,12, C,0.0,12, C,0.0,12, B,0.0,12, A,0.0,12,B,0.0,12, B,0.0,12,C,0.0,12,B,0.0,12, D,1.0,12,B,0.0,12,B,0.0,12, B,0.0,12, B,0.0,12,B,0.0,12, B,0.0,12, B,0.0,12,0.18257418583505533,High
18,id15,What is the maximum number of phases that can be at equilibrium with each other in a three component mixture?,C,0.0,21,B,0.0,21,A,0.0,21, B,0.0,21,B,0.0,21, C,0.0,21,B,0.0,21, A,0.0,21,C,0.0,21, C,0.0,21,B,0.0,21,B,0.0,21, B,0.0,21, C,0.0,21, C,0.0,21, C,0.0,21, C,0.0,21, B,0.0,21,B,0.0,21, B,0.0,21,C,0.0,21,D,1.0,21, B,0.0,21,B,0.0,21,B,0.0,21, C,0.0,21, C,0.0,21,C,0.0,21, B,0.0,21, C,0.0,21,0.18257418583505533,High
94,id87,"All proteins absorb electromagnetic radiation of wavelength around 190 nm, which corresponds to a π → π* excitation in the protein molecule. In which region of the spectrum is this wavelength found?",B,1.0,33,B,1.0,33,B,1.0,33, B,1.0,33,B,1.0,33, B,1.0,33,B,1.0,33, B,1.0,33,B,1.0,33, B,1.0,33,A,0.0,33,B,1.0,33, B,1.0,33, B,1.0,33, B,1.0,33, B,1.0,33, B,1.0,33, B,1.0,33,B,1.0,33, A,0.0,33,B,1.0,33,B,1.0,33, B,1.0,33,B,1.0,33,B,1.0,33, B,1.0,33, B,1.0,33,B,1.0,33, B,1.0,33, B,1.0,33,0.2537081317024625,High
25,id22,Which of the following statements most accurately explains why the T1 of a nucleus is sometimes longer than its T2?,A,0.0,21,B,0.0,21,A,0.0,21, C,0.0,21,A,0.0,21, D,1.0,21,C,0.0,21, A,0.0,21,A,0.0,21, A,0.0,21,A,0.0,21,A,0.0,21, C,0.0,21, A,0.0,21, A,0.0,21, A,0.0,21, A,0.0,21, D,1.0,21,A,0.0,21, B,0.0,21,B,0.0,21,A,0.0,21, B,0.0,21,B,0.0,21,A,0.0,21, A,0.0,21, A,0.0,21,A,0.0,21, A,0.0,21, B,0.0,21,0.2537081317024625,High
24,id21,"The 1H spectrum of a mixture of dimethylsulphoxide (DMSO) and acetonitrile (AN) contains lines with relative intensities α and 3α, respectively. What is the ratio of the two concentrations, [DMSO]:[AN]?",B,0.0,31,B,0.0,31,C,1.0,31, B,0.0,31,B,0.0,31, D,0.0,31,B,0.0,31, B,0.0,31,A,0.0,31, B,0.0,31,B,0.0,31,B,0.0,31, B,0.0,31, B,0.0,31, B,0.0,31, A,0.0,31, B,0.0,31, B,0.0,31,B,0.0,31, B,0.0,31,B,0.0,31,B,0.0,31, B,0.0,31,B,0.0,31,B,0.0,31, B,0.0,31, B,0.0,31,C,1.0,31, A,0.0,31, B,0.0,31,0.2537081317024625,High
89,id82,What is the limiting high-temperature molar heat capacity at constant volume (C_V) of a gas-phase diatomic molecule?,C,0.0,18,B,0.0,18,B,0.0,18, B,0.0,18,D,1.0,18, D,1.0,18,B,0.0,18, B,0.0,18,B,0.0,18, B,0.0,18,B,0.0,18,B,0.0,18, C,0.0,18, B,0.0,18, B,0.0,18, C,0.0,18, B,0.0,18, B,0.0,18,B,0.0,18, B,0.0,18,B,0.0,18,B,0.0,18, B,0.0,18,B,0.0,18,B,0.0,18, B,0.0,18, B,0.0,18,C,0.0,18, C,0.0,18, B,0.0,18,0.2537081317024625,High
40,id37,Which of the following is the most common naturally-occurring form in which silicon is found?,D,1.0,16,D,1.0,16,D,1.0,16, D,1.0,16,D,1.0,16, D,1.0,16,D,1.0,16, D,1.0,16,D,1.0,16, D,1.0,16,D,1.0,16,D,1.0,16, D,1.0,16, D,1.0,16, D,1.0,16, C,0.0,16, D,1.0,16, D,1.0,16,D,1.0,16, B,0.0,16,D,1.0,16,D,1.0,16, D,1.0,16,D,1.0,16,D,1.0,16, D,1.0,16, D,1.0,16,D,1.0,16, D,1.0,16, D,1.0,16,0.2537081317024625,High
92,id85,The number of allowed energy levels for the 55Mn nuclide are:,The,0.0,12,B,0.0,12,C,0.0,12, C,0.0,12,B,0.0,12, D,0.0,12,B,0.0,12, B,0.0,12,A,1.0,12, B,0.0,12,B,0.0,12,B,0.0,12, B,0.0,12, B,0.0,12, B,0.0,12, C,0.0,12, D,0.0,12, D,0.0,12,C,0.0,12, B,0.0,12,C,0.0,12,D,0.0,12, A,1.0,12,D,0.0,12,B,0.0,12, D,0.0,12, C,0.0,12,C,0.0,12, D,0.0,12, B,0.0,12,0.2537081317024625,High
29,id26,What is the ratio of line intensities in the EPR spectrum of the t-Bu radical (CH3)3C•?,The,0.0,17,A,0.0,17,C,0.0,17, C,0.0,17,A,0.0,17, B,0.0,17,B,0.0,17, A,0.0,17,B,0.0,17, B,0.0,17,A,0.0,17,B,0.0,17, C,0.0,17, B,0.0,17, B,0.0,17, B,0.0,17, A,0.0,17, B,0.0,17,D,1.0,17, B,0.0,17,D,1.0,17,A,0.0,17, A,0.0,17,B,0.0,17,B,0.0,17, C,0.0,17, A,0.0,17,C,0.0,17, A,0.0,17, B,0.0,17,0.2537081317024625,High
73,id68,"In fluorescence spectroscopy, the quantum yield (Φ_f) is best defined as the",C,1.0,13,C,1.0,13,C,1.0,13, C,1.0,13,C,1.0,13, C,1.0,13,C,1.0,13, A,0.0,13,C,1.0,13, C,1.0,13,C,1.0,13,C,1.0,13, C,1.0,13, C,1.0,13, C,1.0,13, C,1.0,13, C,1.0,13, C,1.0,13,C,1.0,13, B,0.0,13,C,1.0,13,C,1.0,13, C,1.0,13,C,1.0,13,C,1.0,13, C,1.0,13, C,1.0,13,C,1.0,13, C,1.0,13, C,1.0,13,0.2537081317024625,High
41,id38,Which nuclide has an NMR frequency of 115.5 MHz in a 20.0 T magnetic field?,To,0.0,16,C,0.0,16,A,1.0,16, B,0.0,16,B,0.0,16, B,0.0,16,C,0.0,16, D,0.0,16,B,0.0,16, B,0.0,16,A,1.0,16,D,0.0,16, D,0.0,16, B,0.0,16, B,0.0,16, C,0.0,16, B,0.0,16, C,0.0,16,D,0.0,16, B,0.0,16,C,0.0,16,B,0.0,16, C,0.0,16,B,0.0,16,B,0.0,16, D,0.0,16, B,0.0,16,D,0.0,16, B,0.0,16, B,0.0,16,0.2537081317024625,High
70,id65,"A silyl radical bearing an Si-H· fragment has a g value of 2.0033 and a pair of lines separated by 15.5 MHz. Express the splitting in units of mT, Gauss and cm-1.",To,0.0,33,A,0.0,33,A,0.0,33, A,0.0,33,A,0.0,33, D,0.0,33,A,0.0,33, C,0.0,33,A,0.0,33, A,0.0,33,A,0.0,33,C,0.0,33, A,0.0,33, D,0.0,33, D,0.0,33, A,0.0,33, A,0.0,33, C,0.0,33,D,0.0,33, B,1.0,33,A,0.0,33,D,0.0,33, C,0.0,33,A,0.0,33,C,0.0,33, C,0.0,33, A,0.0,33,A,0.0,33, A,0.0,33, B,1.0,33,0.2537081317024625,High
