,instance_id,input.text,predicted_text_0,stats.exact_match_0,num_words_0,predicted_text_1,stats.exact_match_1,num_words_1,predicted_text_2,stats.exact_match_2,num_words_2,predicted_text_3,stats.exact_match_3,num_words_3,predicted_text_4,stats.exact_match_4,num_words_4,predicted_text_5,stats.exact_match_5,num_words_5,predicted_text_6,stats.exact_match_6,num_words_6,predicted_text_7,stats.exact_match_7,num_words_7,predicted_text_8,stats.exact_match_8,num_words_8,predicted_text_9,stats.exact_match_9,num_words_9,predicted_text_10,stats.exact_match_10,num_words_10,predicted_text_11,stats.exact_match_11,num_words_11,predicted_text_12,stats.exact_match_12,num_words_12,predicted_text_13,stats.exact_match_13,num_words_13,predicted_text_14,stats.exact_match_14,num_words_14,predicted_text_15,stats.exact_match_15,num_words_15,predicted_text_16,stats.exact_match_16,num_words_16,predicted_text_17,stats.exact_match_17,num_words_17,predicted_text_18,stats.exact_match_18,num_words_18,predicted_text_19,stats.exact_match_19,num_words_19,predicted_text_20,stats.exact_match_20,num_words_20,predicted_text_21,stats.exact_match_21,num_words_21,predicted_text_22,stats.exact_match_22,num_words_22,predicted_text_23,stats.exact_match_23,num_words_23,predicted_text_24,stats.exact_match_24,num_words_24,predicted_text_25,stats.exact_match_25,num_words_25,predicted_text_26,stats.exact_match_26,num_words_26,predicted_text_27,stats.exact_match_27,num_words_27,predicted_text_28,stats.exact_match_28,num_words_28,predicted_text_29,stats.exact_match_29,num_words_29,std,agreement_level
17,id115,Three of the following are classic security properties; which one is not?,C,0.0,13,C,0.0,13,C,0.0,13,C,0.0,13, C,0.0,13, C,0.0,13, C,0.0,13,C,0.0,13, C,0.0,13, C,0.0,13,D,0.0,13, D,0.0,13, C,0.0,13,C,0.0,13,C,0.0,13,C,0.0,13, D,0.0,13, C,0.0,13,C,0.0,13,C,0.0,13,C,0.0,13,C,0.0,13, C,0.0,13, C,0.0,13, C,0.0,13, C,0.0,13,C,0.0,13, C,0.0,13, C,0.0,13, C,0.0,13,0.0,High
46,id40,The __________ was a huge marketplace of Dark Web specifically famous for selling of illegal drugs & narcotics as well as you can find a wide range of other goods for sale.,A,1.0,33,A,1.0,33,A,1.0,33,A,1.0,33, A,1.0,33, A,1.0,33, A,1.0,33,A,1.0,33, A,1.0,33, A,1.0,33,A,1.0,33, A,1.0,33, A,1.0,33,A,1.0,33,A,1.0,33,A,1.0,33, B,0.0,33, A,1.0,33,A,1.0,33,A,1.0,33,A,1.0,33,A,1.0,33, A,1.0,33, A,1.0,33, A,1.0,33, A,1.0,33,A,1.0,33, A,1.0,33, A,1.0,33, A,1.0,33,0.1825741858350553,High
47,id41,The ______________ is categorized as an unknown segment of the Deep Web which has been purposely kept hidden & is inaccessible using standard web browsers.,C,1.0,26,C,1.0,26,C,1.0,26,C,1.0,26, C,1.0,26, C,1.0,26, C,1.0,26,C,1.0,26, C,1.0,26, C,1.0,26,C,1.0,26, D,0.0,26, C,1.0,26,C,1.0,26,C,1.0,26,C,1.0,26, C,1.0,26, C,1.0,26,C,1.0,26,C,1.0,26,C,1.0,26,C,1.0,26, C,1.0,26, C,1.0,26, C,1.0,26, C,1.0,26,C,1.0,26, C,1.0,26, C,1.0,26, C,1.0,26,0.1825741858350553,High
6,id105,Which of the following does authorization aim to accomplish?,A,1.0,10,A,1.0,10,A,1.0,10,A,1.0,10, A,1.0,10, A,1.0,10, A,1.0,10,A,1.0,10, A,1.0,10, A,1.0,10,A,1.0,10, C,0.0,10, A,1.0,10,A,1.0,10,A,1.0,10,A,1.0,10, A,1.0,10, A,1.0,10,A,1.0,10,A,1.0,10,A,1.0,10,A,1.0,10, A,1.0,10, A,1.0,10, A,1.0,10, A,1.0,10,A,1.0,10, A,1.0,10, A,1.0,10, A,1.0,10,0.1825741858350553,High
32,id26,An integer overflow occurs when,A,0.0,6,A,0.0,6,A,0.0,6,A,0.0,6, A,0.0,6, A,0.0,6, A,0.0,6,A,0.0,6, A,0.0,6, A,0.0,6,A,0.0,6, D,1.0,6, A,0.0,6,A,0.0,6,A,0.0,6,A,0.0,6, A,0.0,6, A,0.0,6,A,0.0,6,A,0.0,6,A,0.0,6,A,0.0,6, A,0.0,6, A,0.0,6, A,0.0,6, C,0.0,6,C,0.0,6, B,0.0,6, A,0.0,6, A,0.0,6,0.1825741858350553,High
70,id62,A ___________ is a method in which a computer security mechanism is bypassed untraceable for accessing the computer or its information.,B,1.0,22,B,1.0,22,B,1.0,22,B,1.0,22, B,1.0,22, B,1.0,22, B,1.0,22,B,1.0,22, B,1.0,22, B,1.0,22,B,1.0,22, B,1.0,22, B,1.0,22,B,1.0,22,B,1.0,22,B,1.0,22, A,0.0,22, B,1.0,22,B,1.0,22,B,1.0,22,B,1.0,22,B,1.0,22, B,1.0,22, B,1.0,22, B,1.0,22, B,1.0,22,B,1.0,22, B,1.0,22, B,1.0,22, B,1.0,22,0.1825741858350553,High
57,id50,Which of the following is an authentication method?,D,1.0,9,D,1.0,9,D,1.0,9,D,1.0,9, D,1.0,9, D,1.0,9, D,1.0,9,D,1.0,9, D,1.0,9, D,1.0,9,D,1.0,9, D,1.0,9, D,1.0,9,D,1.0,9,D,1.0,9,D,1.0,9, C,0.0,9, D,1.0,9,D,1.0,9,D,1.0,9,D,1.0,9,D,1.0,9, D,1.0,9, D,1.0,9, D,1.0,9, D,1.0,9,D,1.0,9, D,1.0,9, D,1.0,9, D,1.0,9,0.1825741858350553,High
12,id110,"Suppose Unix did not provide a way of passing file descriptors between processes, but still allowed inheriting file descriptors from a parent on fork and exec. What aspects of the OKWS design would break without file descriptor passing?
1. It would be impossible for services to send messages to oklogd.
2. It would be impossible for services to get a TCP connection to a database proxy.",A,0.0,67,A,0.0,67,A,0.0,67,D,0.0,67, A,0.0,67, D,0.0,67, C,0.0,67,C,0.0,67, C,0.0,67, C,0.0,67,A,0.0,67, D,0.0,67, A,0.0,67,C,0.0,67,C,0.0,67,C,0.0,67, D,0.0,67, C,0.0,67,C,0.0,67,A,0.0,67,C,0.0,67,B,1.0,67, A,0.0,67, C,0.0,67, C,0.0,67, C,0.0,67,C,0.0,67, A,0.0,67, C,0.0,67, A,0.0,67,0.18257418583505533,High
94,id84,1. _________ framework made cracking of vulnerabilities easy like point and click.,B,1.0,13,B,1.0,13,B,1.0,13,B,1.0,13, B,1.0,13, B,1.0,13, B,1.0,13,B,1.0,13, B,1.0,13, B,1.0,13,B,1.0,13, B,1.0,13, B,1.0,13,B,1.0,13,B,1.0,13,B,1.0,13, B,1.0,13, B,1.0,13,B,1.0,13,B,1.0,13,B,1.0,13,B,1.0,13, B,1.0,13, B,1.0,13, B,1.0,13, B,1.0,13,B,1.0,13, B,1.0,13, B,1.0,13, A,0.0,13,0.18257418583505536,High
72,id64,What is a web proxy?,A,1.0,6,A,1.0,6,A,1.0,6,A,1.0,6, A,1.0,6, A,1.0,6, A,1.0,6,A,1.0,6, A,1.0,6, A,1.0,6,A,1.0,6, A,1.0,6, A,1.0,6,A,1.0,6,A,1.0,6,A,1.0,6, A,1.0,6, A,1.0,6,A,1.0,6,A,1.0,6,A,1.0,6,A,1.0,6, A,1.0,6, A,1.0,6, A,1.0,6, A,1.0,6,A,1.0,6, A,1.0,6, A,1.0,6, C,0.0,6,0.18257418583505536,High
