Benchmark 20/28: legalbench:subset=corporate_lobbying
================================================================================

Models analyzed:
1. AlephAlpha_luminous-supreme
2. 01-ai_yi-6b
3. tiiuae_falcon-7b
4. meta_llama-2-13b
5. mistralai_mixtral-8x7b-32kseqlen
6. AlephAlpha_luminous-base
7. openai_gpt-4-0613
8. openai_gpt-3.5-turbo-0613
9. meta_llama-65b
10. anthropic_claude-2.1
11. anthropic_claude-v1.3
12. openai_text-davinci-002
13. meta_llama-2-7b
14. writer_palmyra-x-v3
15. cohere_command-light
16. meta_llama-2-70b
17. ai21_j2-grande
18. AlephAlpha_luminous-extended
19. anthropic_claude-2.0
20. anthropic_claude-instant-1.2
21. ai21_j2-jumbo
22. cohere_command
23. 01-ai_yi-34b
24. google_text-unicorn@001
25. writer_palmyra-x-v2
26. mistralai_mistral-7b-v0.1
27. google_text-bison@001
28. tiiuae_falcon-40b
29. openai_text-davinci-003
30. openai_gpt-4-1106-preview

=== Summary Statistics ===

+-------------+---------------+-----------------------+-------------------------------+---------------+
| Agreement   |   N Questions |   Avg Response Length |   Avg stats.quasi_exact_match | Std Range     |
+=============+===============+=======================+===============================+===============+
| High        |             0 |                 nan   |                       nan     | nan - nan     |
+-------------+---------------+-----------------------+-------------------------------+---------------+
| Medium      |            16 |                   1.3 |                         0.767 | 0.183 - 0.254 |
+-------------+---------------+-----------------------+-------------------------------+---------------+
| Low         |           474 |                   2.1 |                         0.607 | 0.305 - 0.509 |
+-------------+---------------+-----------------------+-------------------------------+---------------+

=== Sample Questions and Responses ===

+-------------+----------------------------------------------------+---------------------------+--------------------------------------------------------------------+
| Agreement   | Question                                           | References                | Model Responses (first 3)                                          |
+=============+====================================================+===========================+====================================================================+
| High        | No examples in this category                       | N/A                       | N/A                                                                |
+-------------+----------------------------------------------------+---------------------------+--------------------------------------------------------------------+
| Medium      | Official title of bill: A bill to provide          | Reference 1: No (correct) | Sample response 1 (stats.quasi_exact_match=1.000):  No             |
|             | assistance for United States nationals taken       |                           | Sample response 2 (stats.quasi_exact_match=1.000):  No             |
|             | hostage or unlawfully or wrongfully detained       |                           | Sample response 3 (stats.quasi_exact_match=1.000):  No             |
|             | abroad, and for other purposes. Official summary   |                           |                                                                    |
|             | of bill: Robert Levinson Hostage Recovery and      |                           |                                                                    |
|             | Hostage-Taking Accountability Act  This bill       |                           |                                                                    |
|             | establishes various entities and procedures to     |                           |                                                                    |
|             | address the wrongful detainment of U.S. nationals  |                           |                                                                    |
|             | abroad.The President shall appoint a Special       |                           |                                                                    |
|             | Presidential Envoy for Hostage Affairs. The        |                           |                                                                    |
|             | envoy's duties shall include leading diplomatic    |                           |                                                                    |
|             | engagement on U.S. hostage policy and coordinating |                           |                                                                    |
|             | diplomatic engagements in support of hostage       |                           |                                                                    |
|             | recovery efforts.  The President shall establish   |                           |                                                                    |
|             | an interagency Hostage Recovery Fusion Cell, which |                           |                                                                    |
|             | shall assess and track all hostage cases of U.S.   |                           |                                                                    |
|             | nationals and coordinate agency efforts to safely  |                           |                                                                    |
|             | recover hostages. The President shall also         |                           |                                                                    |
|             | establish the Hostage Recovery Group, which shall  |                           |                                                                    |
|             | make recommendations regarding hostage recovery    |                           |                                                                    |
|             | options and coordinate the development and         |                           |                                                                    |
|             | implementation of U.S. hostage recovery policies.  |                           |                                                                    |
