,instance_id,input.text,references,predicted_text_0,stats.quasi_exact_match_0,predicted_text_1,stats.quasi_exact_match_1,predicted_text_2,stats.quasi_exact_match_2,predicted_text_3,stats.quasi_exact_match_3,predicted_text_4,stats.quasi_exact_match_4,predicted_text_5,stats.quasi_exact_match_5,predicted_text_6,stats.quasi_exact_match_6,predicted_text_7,stats.quasi_exact_match_7,predicted_text_8,stats.quasi_exact_match_8,predicted_text_9,stats.quasi_exact_match_9,predicted_text_10,stats.quasi_exact_match_10,predicted_text_11,stats.quasi_exact_match_11,predicted_text_12,stats.quasi_exact_match_12,predicted_text_13,stats.quasi_exact_match_13,predicted_text_14,stats.quasi_exact_match_14,predicted_text_15,stats.quasi_exact_match_15,predicted_text_16,stats.quasi_exact_match_16,predicted_text_17,stats.quasi_exact_match_17,predicted_text_18,stats.quasi_exact_match_18,predicted_text_19,stats.quasi_exact_match_19,predicted_text_20,stats.quasi_exact_match_20,predicted_text_21,stats.quasi_exact_match_21,predicted_text_22,stats.quasi_exact_match_22,predicted_text_23,stats.quasi_exact_match_23,predicted_text_24,stats.quasi_exact_match_24,predicted_text_25,stats.quasi_exact_match_25,predicted_text_26,stats.quasi_exact_match_26,predicted_text_27,stats.quasi_exact_match_27,predicted_text_28,stats.quasi_exact_match_28,predicted_text_29,stats.quasi_exact_match_29,std,agreement_level
80,id172,Text: The sole and narrow question presented in this appeal is whether the law mandated that the district court provide Lawrence the opportunity to allocute—to speak in person to the district court judge—before ruling on his motion for a sentence reduction.,Decree (correct), Issue,0.0, Issue,0.0, Issue,0.0,Issue,0.0,Issue,0.0, Issue,0.0,Issue,0.0,Issue,0.0,Issue,0.0, Issue,0.0,Issue,0.0,Issue,0.0, Issue,0.0, Rule,0.0, Issue,0.0, Analysis ,0.0,Issue,0.0,Issue,0.0, Issue,0.0,Issue,0.0,Issue,0.0, Issue,0.0, Issue,0.0, Issue,0.0,Issue,0.0, Procedural History,0.0,Issue,0.0, Issue,0.0, Issue,0.0,Issue,0.0,0.0,
221,id300,"Text: Immediately after this comment, defense counsel objected. The district court noted the objection and reminded the jury that “as I've instructed [you] and will reiterate, anything the lawyers say is not evidence, and if your memory of the evidence individually and collectively differs from what any lawyer says, it's your memory that controls.” At that point, the prosecutor resumed his rebuttal argument, telling the jury (without any further objection) that he was only suggesting that “the records don't indicate ... a third party involved. It doesn't mean it didn't happen ....”",Conclusion (correct), Facts,0.0, Facts,0.0, Facts,0.0,Facts,0.0,Facts,0.0, Facts,0.0,Facts,0.0,Analysis,0.0,Facts,0.0, Fact,0.0,Facts,0.0,Analysis,0.0, Facts,0.0, Rule,0.0, Facts,0.0, Analysis ,0.0,Facts,0.0,Facts,0.0, Facts,0.0,Analysis,0.0,Facts,0.0, Facts,0.0, Procedural History,0.0, Facts,0.0,Factual History,0.0, Procedural History,0.0,Facts,0.0, Procedural History,0.0, Facts,0.0,Analysis,0.0,0.0,
268,id343,Text: Appellants argue that the death of the bees was nonetheless foreseeable because of an “explicit warning in the pesticide use instructions stating that dispersal of the substance is ‘highly toxic’ to bees.” Appellants’ Reply Br. 10 (citing J.A. 157).,Decree (correct), Facts,0.0, Fact,0.0, Facts,0.0,Rule,0.0,Facts,0.0, Issue,0.0,Facts,0.0,Analysis,0.0,Facts,0.0, Issue,0.0,Facts,0.0,Analysis,0.0, Facts,0.0, Rule,0.0, Facts,0.0, Analysis ,0.0,Analysis,0.0,Facts,0.0, Facts,0.0,Rule,0.0,Analysis,0.0, Analysis,0.0, Analysis,0.0, Fact,0.0,Analysis,0.0, Procedural History,0.0,Facts,0.0, Procedural History,0.0, Facts,0.0,Issue,0.0,0.0,
52,id147,"Text: At Lassiter's resentencing, the sentencing judge incorporated his guidelines analysis (including the offense-level calculation) from the original sentencing. Indeed, the judge only mentioned the updated PSR in passing. The judge did, however, reconnect the boxcutter slashing with Lyles's bodily injuries: [You t]ried to shoot one of your co-conspirators in crime, tried to kill Mr. Lyles and the gun didn't work. You went and got a box cutter and used it. **** And Mr. Lyles lay there in the back of the car bleeding with all of these cuts all over his body pretending to be dead. I remember him being here in Court on numerous occasions during status conferences and other proceedings, it's amazing that he was alive. App. 514.",Conclusion (correct), Facts,0.0, Facts,0.0, Facts,0.0,Issue,0.0,Facts,0.0, Issue,0.0,Facts,0.0,Analysis,0.0,Analysis,0.0, Fact,0.0,Facts,0.0,Analysis,0.0, Facts,0.0, Issue,0.0, Facts,0.0, Analysis ,0.0,Analysis,0.0,Facts,0.0, Facts,0.0,Facts,0.0,Facts,0.0, Facts,0.0, Analysis,0.0, Procedural History,0.0,Factual History,0.0, Issue,0.0,Facts,0.0, Procedural History,0.0, Facts,0.0,Analysis,0.0,0.0,
273,id348,"Text: Martin also challenges the district court's denial of his motion for acquittal of the felon in possession charge. Specifically, he argues that there was insufficient evidence for the jury to conclude that he possessed the guns recovered from the car.",Decree (correct), Issue,0.0, Issue,0.0, Issue,0.0,Issue,0.0,Issue,0.0, Issue,0.0,Issue,0.0,Issue,0.0,Issue,0.0, Issue,0.0,Issue,0.0,Issue,0.0, Issue,0.0, Rule,0.0, Issue,0.0, Procedural History ,0.0,Issue,0.0,Issue,0.0, Issue,0.0,Analysis,0.0,Issue,0.0, Issue,0.0, Issue,0.0, Issue,0.0,Issue,0.0, Procedural History,0.0,Facts,0.0, Procedural History,0.0, Issue,0.0,Issue,0.0,0.0,
214,id294,"Text: A district court has considerable leeway in probing concerns about juror  *93 impartiality and in determining what remedial measures, if any, may be appropriate. See United States v. Tejeda, 481 F.3d 44, 52 (1st Cir. 2007); United States v. Rodríguez-Ortiz, 455 F.3d 18, 23 (1st Cir. 2006). Where, as here, the district court has had the opportunity to question the challenged juror and to see and hear her responses in real time, the party who challenges the court's decision to allow the juror to sit ordinarily faces an uphill climb. See Amirault v. Fair, 968 F.2d 1404, 1405 (1st Cir. 1992) (noting that “issues of juror credibility and honesty are determinations ‘peculiarly within a trial judge's province’ and are accorded great deference” (quoting Wainwright v. Witt, 469 U.S. 412, 428, 105 S.Ct. 844, 83 L.Ed.2d 841 (1985))).",Conclusion (correct), Facts,0.0, Analysis,0.0, Rule,0.0,Facts,0.0,Rule,0.0, Analysis,0.0,Rule,0.0,Analysis,0.0,Analysis,0.0, Rule,0.0,Analysis,0.0,Rule,0.0, Analysis,0.0, Rule,0.0, Analysis,0.0, Analysis ,0.0,Analysis,0.0,Analysis,0.0, Rule,0.0,Analysis,0.0,Rule,0.0, Rule,0.0, Analysis,0.0, Rule,0.0,Rule,0.0, Issue,0.0,Analysis,0.0, Analysis,0.0, Rule,0.0,Rule,0.0,0.0,
185,id268,"Text: They now challenge that conclusion on appeal, arguing that the district court erred in using the instance and expense test, and, even under that test, reached the wrong conclusion. They also challenge the court's failure to strike one of the defendants' discovery responses.",Rule (correct), Facts,0.0, Issue,0.0, Issue,0.0,Issue,0.0,Issue,0.0, Issue,0.0,Issue,0.0,Issue,0.0,Issue,0.0, Issue,0.0,Issue,0.0,Issue,0.0, Issue,0.0, Issue,0.0, Facts,0.0, Issue and Analysis ,0.0,Issue,0.0,Issue,0.0, Issue,0.0,Analysis,0.0,Issue,0.0, Issue,0.0, Analysis,0.0, Issue,0.0,Issue,0.0, Procedural History,0.0,Facts,0.0, Procedural History,0.0, Facts,0.0,Issue,0.0,0.0,
222,id301,"Text: An attorney's summation is not meant to be used as a device for the introduction of new facts into evidence. In this instance, the appellant complains that a portion of the prosecutor's comment — “phone records don't identify three-way phone calls” — states a fact not in evidence. The appellant's complaint is literally true: the government does not point to any competent evidence in the record verifying the asserted fact that “phone records don't identify three-way phone calls.” The ultimate test, though, is whether the error caused harm. See Berroa, 856 F.3d at 162. Here, the error was manifestly harmless. We explain briefly.",Conclusion (correct), Facts,0.0, Analysis,0.0, Analysis,0.0,Facts,0.0,Analysis,0.0, Analysis,0.0,Analysis,0.0,Analysis,0.0,Analysis,0.0, Analysis,0.0,Analysis,0.0,Analysis,0.0, Analysis,0.0, Rule,0.0, Analysis,0.0, Analysis ,0.0,Analysis,0.0,Analysis,0.0," Text: In this venue, the appellant advances two claims of trial error and a cluster of claims of sentencing error.1 Since none possesses even a pat",0.0,Analysis,0.0,Analysis,0.0, Analysis,0.0, Analysis,0.0, Analysis,0.0,Analysis,0.0, Issue,0.0,Analysis,0.0, Analysis,0.0, Rule,0.0,Analysis,0.0,0.0,
112,id201,"Text: That is not to say that district courts do not have weighty obligations in conducting Section 404 proceedings. For starters, the court's resolution of the motion for sentence reduction must “take into account Congress's purposes” in passing the Fair Sentencing Act and the First Step Act, which “together[ ] are strong remedial statutes, meant to rectify disproportionate and racially disparate sentencing penalties.” White, 984 F.3d at 89–90. In that regard, district courts must consider “all relevant factors,” including “new statutory minimum or maximum penalties; current Guidelines; post-sentencing conduct; and other relevant information about a defendant's history and conduct.” Id. at 90, 93 (quoting Hudson, 967 F.3d at 609). In White, we emphasized the particular relevance of post-sentencing conduct and the sentencing factors listed in 18 U.S.C. § 3553(a). 984 F.3d at 90–91. Additionally, district courts must give due consideration to relevant mitigating evidence offered by the defendant. Id. at 92–93. And sentence-reduction decisions under Section 404 “must be procedurally reasonable and supported by a sufficiently compelling justification.” Id. at 91 (quoting Boulding, 960 F.3d at 784).",Conclusion (correct), Facts,0.0, Rule,0.0, Rule,0.0,Facts,0.0,Analysis,0.0, Issue,0.0,Rule,0.0,Analysis,0.0,Analysis,0.0, Rule,0.0,Rule,0.0,Rule,0.0, Rule,0.0, Rule,0.0, Facts,0.0, Analysis ,0.0,Rule,0.0,Analysis,0.0, Rule,0.0,Rule,0.0,Rule,0.0, Rule,0.0, Analysis,0.0, Analysis,0.0,Rule,0.0, Issue,0.0,Analysis,0.0, Analysis,0.0, Rule,0.0,Rule,0.0,0.0,
45,id140,"Text: Finally, Lassiter compares his resentencing to McCauley, Wheeler, and Cooper's resentencings, noting that the district judge carved off their § 924(c) sentences without modifying their kidnapping sentences. Even if Cooper, McCauley, and Wheeler's new sentences reveal anything about Lassiter's original sentence, they don't undermine the judge's finding that he originally intended a package, for them or for Lassiter. Cf. Pepper v. United States, 562 U.S. 476, 490, 131 S.Ct. 1229, 179 L.Ed.2d 196 (2011) (permitting district courts to consider post-sentence rehabilitation when resentencing defendants). By their resentencings, McCauley and Wheeler were already released, so they had no remaining prison term to modify. Likewise, Cooper's exceptional “level of rehabilitation” justified reducing his sentence to time served. App. 506.",Conclusion (correct), Facts,0.0, Issue,0.0, Analysis,0.0,Facts,0.0,Analysis,0.0, Issue,0.0,Analysis,0.0,Analysis,0.0,Analysis,0.0, Analysis,0.0,Analysis,0.0,Analysis,0.0, Analysis,0.0, Rule,0.0, Analysis,0.0, Analysis ,0.0,Analysis,0.0,Analysis,0.0," Text: In this venue, the appellant advances two claims of trial error and a cluster of claims of sentencing error.1 Since none possesses even a pat",0.0,Analysis,0.0,Analysis,0.0, Analysis,0.0, Analysis,0.0, Analysis,0.0,Analysis,0.0, Issue,0.0,Analysis,0.0, Analysis,0.0, Analysis,0.0,Analysis,0.0,0.0,
