,instance_id,input.text,references,predicted_text_0,stats.quasi_exact_match_0,predicted_text_1,stats.quasi_exact_match_1,predicted_text_2,stats.quasi_exact_match_2,predicted_text_3,stats.quasi_exact_match_3,predicted_text_4,stats.quasi_exact_match_4,predicted_text_5,stats.quasi_exact_match_5,predicted_text_6,stats.quasi_exact_match_6,predicted_text_7,stats.quasi_exact_match_7,predicted_text_8,stats.quasi_exact_match_8,predicted_text_9,stats.quasi_exact_match_9,predicted_text_10,stats.quasi_exact_match_10,predicted_text_11,stats.quasi_exact_match_11,predicted_text_12,stats.quasi_exact_match_12,predicted_text_13,stats.quasi_exact_match_13,predicted_text_14,stats.quasi_exact_match_14,predicted_text_15,stats.quasi_exact_match_15,predicted_text_16,stats.quasi_exact_match_16,predicted_text_17,stats.quasi_exact_match_17,predicted_text_18,stats.quasi_exact_match_18,predicted_text_19,stats.quasi_exact_match_19,predicted_text_20,stats.quasi_exact_match_20,predicted_text_21,stats.quasi_exact_match_21,predicted_text_22,stats.quasi_exact_match_22,predicted_text_23,stats.quasi_exact_match_23,predicted_text_24,stats.quasi_exact_match_24,predicted_text_25,stats.quasi_exact_match_25,predicted_text_26,stats.quasi_exact_match_26,predicted_text_27,stats.quasi_exact_match_27,predicted_text_28,stats.quasi_exact_match_28,predicted_text_29,stats.quasi_exact_match_29,std,agreement_level
351,id3816,"Question: Consider the country of Malta. Does the country have a safeguard that provides for the grant of citizenship to an otherwise stateless child born in the country, and if so, under which conditions?",No (correct), Yes,0.0,Yes,0.0, Yes,0.0,Yes,0.0, Yes,0.0," Yes. The safeguard provides for the grant of citizenship to an otherwise stateless child born in Malta, provided that certain requirements are met, including the determination",0.0,Yes,0.0,Yes,0.0,Yes,0.0,Yes,0.0, Yes,0.0, Yes,0.0,Yes,0.0,Yes,0.0, Yes,0.0,Yes,0.0, Yes,0.0,Yes,0.0, Yes,0.0, Yes,0.0,Yes,0.0, Yes,0.0,Yes,0.0,Yes,0.0, Yes,0.0, Yes,0.0, Yes,0.0, Yes,0.0, Yes,0.0,"Yes, Malta provides for the grant of citizenship to an otherwise stateless child born in the country if the child would otherwise be stateless.",0.0,0.0,High
636,id6074,"Question: Consider the country of United States of America. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a deceased citizen and, if so, under which conditions?",No (correct), Yes,0.0,Yes,0.0, Yes,0.0,Yes,0.0, Yes,0.0," Yes. A person can acquire citizenship through their spouse, child, or grandchild by meeting certain requirements such as filing a citizenship application and undergoing an interview",0.0,Yes,0.0,Yes,0.0,Yes,0.0,Yes,0.0, Yes,0.0, Yes,0.0,Yes,0.0,Yes,0.0, Yes,0.0,Yes,0.0, Yes,0.0,Yes,0.0, Yes,0.0, Yes,0.0,Yes,0.0, Yes,0.0,Yes,0.0,Yes,0.0, Yes,0.0, Yes,0.0, Yes,0.0, Yes,0.0, Yes,0.0,"Yes, the United States provides for acquisition of citizenship by the spouse, child or grandchild of a deceased citizen under the following conditions:",0.0,0.0,High
25,id1242,"Question: Consider the country of Colombia. Does the country provide for acquisition of citizenship by the child of a person who has become a citizen (but the child did not do so at the same time) and, if so, under which conditions?",No (correct), Yes,0.0,Yes,0.0, Yes,0.0,Yes,0.0, Yes,0.0, Yes. The child must have a link with Colombia through a parent or grandparent who is a citizen of Colombia. The child must also have lived in,0.0,Yes,0.0,Yes,0.0,Yes,0.0,Yes,0.0, Yes,0.0, Yes,0.0,Yes,0.0,Yes,0.0, Yes,0.0,Yes,0.0, Yes,0.0,Yes,0.0, Yes,0.0, Yes,0.0,Yes,0.0, Yes,0.0,Yes,0.0,Yes,0.0, Yes,0.0, Yes,0.0, Yes,0.0, Yes,0.0, Yes,0.0,"Yes, if the child is under 18 years old or disabled at the time the parent naturalizes.",0.0,0.0,High
908,id847,"Question: Consider the country of Brunei. Does the country provide specific conditions for the acquisition of citizenship by a refugee in its territory (different from those for residence- based acquisition) and, if so, under which conditions?",No (correct), No,1.0,No,1.0, No,1.0,No,1.0, No,1.0, No,1.0,No,1.0,No,1.0,No,1.0,No,1.0, No,1.0, No,1.0,No,1.0,No,1.0, No,1.0,No,1.0, No,1.0,No,1.0, No,1.0, No,1.0,No,1.0, No,1.0,No,1.0,No,1.0, No,1.0, No,1.0, No,1.0, No,1.0, No,1.0,No,1.0,0.0,High
677,id6401,Question: Consider the country of Zambia. Does the country provide for period of residence in a residence-based acquisition?,Yes (correct), Yes,1.0,Yes,1.0, Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0,Yes,1.0, Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0, Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,0.0,High
504,id5109,Question: Consider the country of Sierra Leone. Does the country provide for period of residence in a residence-based acquisition?,Yes (correct), Yes,1.0,Yes,1.0, Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0,Yes,1.0, Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0, Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,0.0,High
670,id6381,"Question: Consider the country of South Africa. Does the country provide for extending the acquisition of citizenship to the spouse or registered partner of a person who is acquiring citizenship and, if so, under which conditions?",No (correct), Yes,0.0,Yes,0.0, Yes,0.0,Yes,0.0, Yes,0.0, Yes,0.0,Yes,0.0,Yes,0.0,Yes,0.0,Yes,0.0, Yes,0.0, Yes,0.0,Yes,0.0,Yes,0.0, Yes,0.0,Yes,0.0, Yes,0.0,Yes,0.0, Yes,0.0, Yes,0.0,Yes,0.0, Yes,0.0,Yes,0.0,Yes,0.0, Yes,0.0, Yes,0.0, Yes,0.0, Yes,0.0, Yes,0.0,"Yes, South Africa provides for extending the acquisition of citizenship to the spouse or registered partner of a person who is acquiring citizenship, as long as the spouse",0.0,0.0,High
516,id5211,Question: Consider the country of Serbia. Does the country provide for period of residence in a residence-based acquisition?,Yes (correct), Yes,1.0,Yes,1.0, Yes,1.0,Yes,1.0, Yes,1.0, Yes. ,1.0,Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0,Yes,1.0, Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0, Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,0.0,High
518,id5224,"Question: Consider the country of Serbia. Does the country provide for acquisition of citizenship by the spouse, child or grandchild of a deceased citizen and, if so, under which conditions?",No (correct), Yes,0.0,Yes,0.0, Yes,0.0,Yes,0.0, Yes,0.0, Yes,0.0,Yes,0.0,Yes,0.0,Yes,0.0,Yes,0.0, Yes,0.0, Yes,0.0,Yes,0.0,Yes,0.0, Yes,0.0,Yes,0.0, Yes,0.0,Yes,0.0, Yes,0.0, Yes,0.0,Yes,0.0, Yes,0.0,Yes,0.0,Yes,0.0, Yes,0.0, Yes,0.0, Yes,0.0, Yes,0.0, Yes,0.0,"Yes, Serbia provides for acquisition of citizenship by the spouse, child or grandchild of a deceased citizen if they submit an application and meet other eligibility criteria",0.0,0.0,High
669,id6376,"Question: Consider the country of South Africa. Does the country provide for acquisition of citizenship by the child of a person who has become a citizen (but the child did not do so at the same time) and, if so, under which conditions?",No (correct), Yes,0.0,Yes,0.0, Yes,0.0,Yes,0.0, Yes,0.0, Yes,0.0,Yes,0.0,Yes,0.0,Yes,0.0,Yes,0.0, Yes,0.0, Yes,0.0,Yes,0.0,Yes,0.0, Yes,0.0,Yes,0.0, Yes,0.0,Yes,0.0, Yes,0.0, Yes,0.0,Yes,0.0, Yes,0.0,Yes,0.0,Yes,0.0, Yes,0.0, Yes,0.0, Yes,0.0, Yes,0.0, Yes,0.0,"Yes, if the child is under the age of 18 years.",0.0,0.0,High
