,instance_id,input.text,references,predicted_text_0,stats.quasi_exact_match_0,predicted_text_1,stats.quasi_exact_match_1,predicted_text_2,stats.quasi_exact_match_2,predicted_text_3,stats.quasi_exact_match_3,predicted_text_4,stats.quasi_exact_match_4,predicted_text_5,stats.quasi_exact_match_5,predicted_text_6,stats.quasi_exact_match_6,predicted_text_7,stats.quasi_exact_match_7,predicted_text_8,stats.quasi_exact_match_8,predicted_text_9,stats.quasi_exact_match_9,predicted_text_10,stats.quasi_exact_match_10,predicted_text_11,stats.quasi_exact_match_11,predicted_text_12,stats.quasi_exact_match_12,predicted_text_13,stats.quasi_exact_match_13,predicted_text_14,stats.quasi_exact_match_14,predicted_text_15,stats.quasi_exact_match_15,predicted_text_16,stats.quasi_exact_match_16,predicted_text_17,stats.quasi_exact_match_17,predicted_text_18,stats.quasi_exact_match_18,predicted_text_19,stats.quasi_exact_match_19,predicted_text_20,stats.quasi_exact_match_20,predicted_text_21,stats.quasi_exact_match_21,predicted_text_22,stats.quasi_exact_match_22,predicted_text_23,stats.quasi_exact_match_23,predicted_text_24,stats.quasi_exact_match_24,predicted_text_25,stats.quasi_exact_match_25,predicted_text_26,stats.quasi_exact_match_26,predicted_text_27,stats.quasi_exact_match_27,predicted_text_28,stats.quasi_exact_match_28,predicted_text_29,stats.quasi_exact_match_29,std,agreement_level
35,id45,Statute: The person making payment may recover from any warrantor for breach of warranty an amount equal to the amount paid plus expenses and loss of interest resulting from the breach.,Yes (correct), Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,0.0,High
18,id28,Statute: Any person who suffers harm pursuant to this section may recover his or her damages in a civil action against the offender.,Yes (correct), Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,0.0,High
84,id9,Statute: A customer described in subsection (1) who suffers actual damages as a result of a violation of this act may bring a civil action against the person that violated this act.,Yes (correct), Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,0.0,High
3,id13,Statute: A person may bring a civil action to enforce a claim under this subsection in an appropriate court of competent jurisdiction.,Yes (correct), Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,0.0,High
4,id14,"Statute: A person to whom warranties are made under this Section and who took the item in good faith may recover from the warrantor as damages for breach of warranty an amount equal to the loss suffered as a result of the breach, plus expenses and loss of interest incurred as a result of the breach.",Yes (correct), Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,0.0,High
34,id44,Statute: The owner of any real property designated as a benefited property in the instrument creating the environmental control easement or the occupant of the benefited real property may maintain an action for enforcement of the easement.,Yes (correct), Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,0.0,High
42,id51,Statute: You have the right to bring a civil action against someone whoviolates your rights under the credit reporting laws. The action can be broughtagainst a consumer-reporting agency.,Yes (correct), Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,0.0,High
16,id26,"Statute: Any person who is a victim of human trafficking may bring a civil action against any person who caused, was responsible for or profited from the human trafficking.",Yes (correct), Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0,Yes,1.0, Yes,1.0, Yes ,1.0, Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,0.0,High
9,id19,"Statute: A service contract holder may bring an action in a court of competent jurisdiction for damages, injunctive relief, restitution, or other appropriate relief for a threatened or existing violation relating to the motor vehicle service contract.",Yes (correct), Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0, Yes,1.0,Yes,1.0,Yes,1.0,Yes,1.0, Yes,1.0, Yes,1.0,Yes,1.0,0.0,High
68,id75,Statute: The term of office of each elective village officer shall commence at the start of the official year following his election.,No (correct), No,1.0,No,1.0,No,1.0, No,1.0, No,1.0, Yes,0.0,No,1.0,No,1.0, No,1.0,No,1.0, No,1.0, No,1.0, No,1.0,No,1.0,No,1.0, No,1.0, No,1.0,No,1.0,No,1.0, No,1.0, No,1.0, No,1.0,No,1.0, No,1.0,No,1.0,No,1.0,No,1.0, No,1.0, No,1.0,No,1.0,0.18257418583505525,Medium
