,instance_id,input.text,references,predicted_text_0,stats.exact_match_0,predicted_text_1,stats.exact_match_1,predicted_text_2,stats.exact_match_2,predicted_text_3,stats.exact_match_3,predicted_text_4,stats.exact_match_4,predicted_text_5,stats.exact_match_5,predicted_text_6,stats.exact_match_6,predicted_text_7,stats.exact_match_7,predicted_text_8,stats.exact_match_8,predicted_text_9,stats.exact_match_9,predicted_text_10,stats.exact_match_10,predicted_text_11,stats.exact_match_11,predicted_text_12,stats.exact_match_12,predicted_text_13,stats.exact_match_13,predicted_text_14,stats.exact_match_14,predicted_text_15,stats.exact_match_15,predicted_text_16,stats.exact_match_16,predicted_text_17,stats.exact_match_17,predicted_text_18,stats.exact_match_18,predicted_text_19,stats.exact_match_19,predicted_text_20,stats.exact_match_20,predicted_text_21,stats.exact_match_21,predicted_text_22,stats.exact_match_22,predicted_text_23,stats.exact_match_23,predicted_text_24,stats.exact_match_24,predicted_text_25,stats.exact_match_25,predicted_text_26,stats.exact_match_26,predicted_text_27,stats.exact_match_27,predicted_text_28,stats.exact_match_28,predicted_text_29,stats.exact_match_29,std,agreement_level
106,id98,A PO3- radical produces a pair of lines separated by 280 MHz with giso = 2.005. Calculate the expected resonant field positions of both lines in the X-band EPR spectrum (ν = 9.5 GHz).,Bres for mI = -½ = 325.0 mT; Bres for mI = +½ = 335.0 mTSALILSPLITCHECKBres for mI = -½ = 123.5 mT; Bres for mI = +½ = 124.5 mT.SALILSPLITCHECKBres for mI = -½ = 333.5 mT; Bres for mI = +½ = 343.5 mT.SALILSPLITCHECKBres for mI = -½ = 0.218 mT; Bres for mI = +½ = 0.418 mT. (correct),To,0.0,A,0.0,A,0.0, A,0.0,A,0.0, C,0.0,B,0.0, A,0.0,A,0.0, C,0.0,B,0.0,C,0.0, C,0.0, C,0.0, C,0.0, A,0.0, A,0.0, C,0.0,A,0.0, C,0.0,C,0.0,A,0.0, A,0.0,A,0.0,C,0.0, C,0.0, C,0.0,A,0.0, C,0.0, C,0.0,0.0,High
101,id93,Which of the following metal ions cannot be used as a paramagnetic quencher?,Ti3+SALILSPLITCHECKCr3+ (correct)SALILSPLITCHECKFe3+SALILSPLITCHECKZn2+,D,0.0,D,0.0,D,0.0, A,0.0,D,0.0, D,0.0,D,0.0, A,0.0,D,0.0, D,0.0,A,0.0,D,0.0, D,0.0, D,0.0, D,0.0, C,0.0, D,0.0, D,0.0,D,0.0, A,0.0,D,0.0,D,0.0, C,0.0,D,0.0,D,0.0, D,0.0, D,0.0,D,0.0, D,0.0, D,0.0,0.0,High
34,id31,Which one of the following statements is true:,"Protons and neutrons have orbital and spin angular momentum.SALILSPLITCHECKProtons have orbital and spin angular momentum, neutrons have spin angular momentum.SALILSPLITCHECKProtons and neutrons possess orbital angular momentum only. (correct)SALILSPLITCHECKProtons and neutrons possess spin angular momentum only.",A,0.0,B,0.0,B,0.0, B,0.0,D,0.0, C,1.0,B,0.0, A,0.0,D,0.0, B,0.0,A,0.0,B,0.0, B,0.0, B,0.0, B,0.0, A,0.0, B,0.0, B,0.0,D,0.0, B,0.0,D,0.0,B,0.0, A,0.0,B,0.0,B,0.0, B,0.0, B,0.0,D,0.0, D,0.0, B,0.0,0.18257418583505525,Medium
31,id28,Calculate the magnetic moment (μI) of a 13C nucleus.,6.1445 x 10^-27 J T-1SALILSPLITCHECK3.1445 x 10^-27 J T-1SALILSPLITCHECK9.1445 x 10^-27 J T-1 (correct)SALILSPLITCHECK1.1445 x 10^-28 J T-1,The,0.0,A,0.0,B,0.0, A,0.0,D,0.0, C,1.0,A,0.0, B,0.0,A,0.0, B,0.0,A,0.0,D,0.0, A,0.0, A,0.0, A,0.0, B,0.0, A,0.0, A,0.0,D,0.0, A,0.0,B,0.0,A,0.0, B,0.0,B,0.0,B,0.0, A,0.0, A,0.0,A,0.0, A,0.0, B,0.0,0.18257418583505525,Medium
62,id58,The 13C chemical shifts of benzene and chloroform are 128.4 ppm and 77.2 ppm respectively. What is the difference in the 13C NMR frequencies of the two compounds on a 600 MHz spectrometer?,7.73 kHz (correct)SALILSPLITCHECK30.7 kHzSALILSPLITCHECK91.6 kHzSALILSPLITCHECK122 kHz,To,0.0,C,0.0,C,0.0, B,0.0,C,0.0, C,0.0,C,0.0, C,0.0,B,0.0, C,0.0,A,1.0,C,0.0, C,0.0, C,0.0, C,0.0, B,0.0, C,0.0, C,0.0,B,0.0, B,0.0,B,0.0,B,0.0, C,0.0,C,0.0,C,0.0, D,0.0, B,0.0,C,0.0, C,0.0, B,0.0,0.18257418583505527,Medium
55,id51,What is the maximum value of the z-component of the spin angular momentum of 43Ca? [I = 7⁄2],3.691 x 10^-34 J s (correct)SALILSPLITCHECK4.185 x 10^-34 J sSALILSPLITCHECK5.493 x 10^-34 J sSALILSPLITCHECK8.370 x 10^-34 J s,The,0.0,C,0.0,C,0.0, B,0.0,C,0.0, B,0.0,C,0.0, A,1.0,C,0.0, B,0.0,B,0.0,D,0.0, C,0.0, D,0.0, D,0.0, B,0.0, B,0.0, B,0.0,D,0.0, C,0.0,C,0.0,D,0.0, C,0.0,B,0.0,C,0.0, D,0.0, D,0.0,C,0.0, C,0.0, B,0.0,0.18257418583505527,Medium
30,id27,Which one sentence explains most accurately why spin trapping is often used to detect free radical intermediates?,spin trapping provides more structural information than direct detection by EPRSALILSPLITCHECKspin trapping makes it easy to quantify free radical intermediatesSALILSPLITCHECKsteady state concentration of free radical intermediates is often too low to enable direct detection by EPRSALILSPLITCHECKdetection of spin adducts requires lower power than direct detection of radical intermediates (correct),C,0.0,C,0.0,C,0.0, C,0.0,C,0.0, B,0.0,C,0.0, A,0.0,C,0.0, C,0.0,C,0.0,C,0.0, C,0.0, C,0.0, C,0.0, D,1.0, C,0.0, C,0.0,C,0.0, A,0.0,C,0.0,C,0.0, C,0.0,C,0.0,C,0.0, C,0.0, C,0.0,C,0.0, C,0.0, C,0.0,0.1825741858350553,Medium
86,id8,Reduction of D-xylose with NaBH4 yields a product that is a,racemic mixtureSALILSPLITCHECKsingle pure enantiomerSALILSPLITCHECKmixture of two diastereomers in equal amountsSALILSPLITCHECKmeso compound (correct),B,0.0,B,0.0,B,0.0, B,0.0,B,0.0, C,0.0,B,0.0, B,0.0,A,0.0, B,0.0,B,0.0,B,0.0, A,0.0, C,0.0, C,0.0, C,0.0, B,0.0, A,0.0,B,0.0, B,0.0,C,0.0,B,0.0, D,1.0,B,0.0,B,0.0, B,0.0, B,0.0,B,0.0, B,0.0, B,0.0,0.18257418583505533,Medium
18,id15,What is the maximum number of phases that can be at equilibrium with each other in a three component mixture?,2SALILSPLITCHECK3SALILSPLITCHECK4SALILSPLITCHECK5 (correct),C,0.0,B,0.0,A,0.0, B,0.0,B,0.0, C,0.0,B,0.0, A,0.0,C,0.0, C,0.0,B,0.0,B,0.0, B,0.0, C,0.0, C,0.0, C,0.0, C,0.0, B,0.0,B,0.0, B,0.0,C,0.0,D,1.0, B,0.0,B,0.0,B,0.0, C,0.0, C,0.0,C,0.0, B,0.0, C,0.0,0.18257418583505533,Medium
94,id87,"All proteins absorb electromagnetic radiation of wavelength around 190 nm, which corresponds to a π → π* excitation in the protein molecule. In which region of the spectrum is this wavelength found?",X-raySALILSPLITCHECKUltraviolet (correct)SALILSPLITCHECKVisibleSALILSPLITCHECKInfrared,B,1.0,B,1.0,B,1.0, B,1.0,B,1.0, B,1.0,B,1.0, B,1.0,B,1.0, B,1.0,A,0.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0, A,0.0,B,1.0,B,1.0, B,1.0,B,1.0,B,1.0, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0,0.2537081317024625,Medium
