,instance_id,input.text,references,predicted_text_0,stats.exact_match_0,predicted_text_1,stats.exact_match_1,predicted_text_2,stats.exact_match_2,predicted_text_3,stats.exact_match_3,predicted_text_4,stats.exact_match_4,predicted_text_5,stats.exact_match_5,predicted_text_6,stats.exact_match_6,predicted_text_7,stats.exact_match_7,predicted_text_8,stats.exact_match_8,predicted_text_9,stats.exact_match_9,predicted_text_10,stats.exact_match_10,predicted_text_11,stats.exact_match_11,predicted_text_12,stats.exact_match_12,predicted_text_13,stats.exact_match_13,predicted_text_14,stats.exact_match_14,predicted_text_15,stats.exact_match_15,predicted_text_16,stats.exact_match_16,predicted_text_17,stats.exact_match_17,predicted_text_18,stats.exact_match_18,predicted_text_19,stats.exact_match_19,predicted_text_20,stats.exact_match_20,predicted_text_21,stats.exact_match_21,predicted_text_22,stats.exact_match_22,predicted_text_23,stats.exact_match_23,predicted_text_24,stats.exact_match_24,predicted_text_25,stats.exact_match_25,predicted_text_26,stats.exact_match_26,predicted_text_27,stats.exact_match_27,predicted_text_28,stats.exact_match_28,predicted_text_29,stats.exact_match_29,std,agreement_level
17,id115,Three of the following are classic security properties; which one is not?,ConfidentialitySALILSPLITCHECKAvailability (correct)SALILSPLITCHECKCorrectnessSALILSPLITCHECKIntegrity,C,0.0,C,0.0,C,0.0,C,0.0, C,0.0, C,0.0, C,0.0,C,0.0, C,0.0, C,0.0,D,0.0, D,0.0, C,0.0,C,0.0,C,0.0,C,0.0, D,0.0, C,0.0,C,0.0,C,0.0,C,0.0,C,0.0, C,0.0, C,0.0, C,0.0, C,0.0,C,0.0, C,0.0, C,0.0, C,0.0,0.0,
46,id40,The __________ was a huge marketplace of Dark Web specifically famous for selling of illegal drugs & narcotics as well as you can find a wide range of other goods for sale.,Silk Road (correct)SALILSPLITCHECKCotton RoadSALILSPLITCHECKDark RoadSALILSPLITCHECKDrug Road,A,1.0,A,1.0,A,1.0,A,1.0, A,1.0, A,1.0, A,1.0,A,1.0, A,1.0, A,1.0,A,1.0, A,1.0, A,1.0,A,1.0,A,1.0,A,1.0, B,0.0, A,1.0,A,1.0,A,1.0,A,1.0,A,1.0, A,1.0, A,1.0, A,1.0, A,1.0,A,1.0, A,1.0, A,1.0, A,1.0,0.1825741858350553,Medium
47,id41,The ______________ is categorized as an unknown segment of the Deep Web which has been purposely kept hidden & is inaccessible using standard web browsers.,Haunted webSALILSPLITCHECKWorld Wide WebSALILSPLITCHECKDark web (correct)SALILSPLITCHECKSurface web,C,1.0,C,1.0,C,1.0,C,1.0, C,1.0, C,1.0, C,1.0,C,1.0, C,1.0, C,1.0,C,1.0, D,0.0, C,1.0,C,1.0,C,1.0,C,1.0, C,1.0, C,1.0,C,1.0,C,1.0,C,1.0,C,1.0, C,1.0, C,1.0, C,1.0, C,1.0,C,1.0, C,1.0, C,1.0, C,1.0,0.1825741858350553,Medium
6,id105,Which of the following does authorization aim to accomplish?,Restrict what operations/data the user can access (correct)SALILSPLITCHECKDetermine if the user is an attackerSALILSPLITCHECKFlag the user if he/she misbehavesSALILSPLITCHECKDetermine who the user is,A,1.0,A,1.0,A,1.0,A,1.0, A,1.0, A,1.0, A,1.0,A,1.0, A,1.0, A,1.0,A,1.0, C,0.0, A,1.0,A,1.0,A,1.0,A,1.0, A,1.0, A,1.0,A,1.0,A,1.0,A,1.0,A,1.0, A,1.0, A,1.0, A,1.0, A,1.0,A,1.0, A,1.0, A,1.0, A,1.0,0.1825741858350553,Medium
32,id26,An integer overflow occurs when,"an integer expression's result ""wraps around""; instead of creating a very large number, a very small (or negative) number ends up getting createdSALILSPLITCHECKan integer is used as if it was a pointerSALILSPLITCHECKan integer is used to access a buffer outside of the buffer's boundsSALILSPLITCHECKthere is no more space to hold integers in the program (correct)",A,0.0,A,0.0,A,0.0,A,0.0, A,0.0, A,0.0, A,0.0,A,0.0, A,0.0, A,0.0,A,0.0, D,1.0, A,0.0,A,0.0,A,0.0,A,0.0, A,0.0, A,0.0,A,0.0,A,0.0,A,0.0,A,0.0, A,0.0, A,0.0, A,0.0, C,0.0,C,0.0, B,0.0, A,0.0, A,0.0,0.1825741858350553,Medium
70,id62,A ___________ is a method in which a computer security mechanism is bypassed untraceable for accessing the computer or its information.,front-doorSALILSPLITCHECKbackdoor (correct)SALILSPLITCHECKclickjackingSALILSPLITCHECKkey-logging,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0, A,0.0, B,1.0,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0, B,1.0,0.1825741858350553,Medium
57,id50,Which of the following is an authentication method?,Secret questionSALILSPLITCHECKBiometricSALILSPLITCHECKSMS codeSALILSPLITCHECKAll of the above (correct),D,1.0,D,1.0,D,1.0,D,1.0, D,1.0, D,1.0, D,1.0,D,1.0, D,1.0, D,1.0,D,1.0, D,1.0, D,1.0,D,1.0,D,1.0,D,1.0, C,0.0, D,1.0,D,1.0,D,1.0,D,1.0,D,1.0, D,1.0, D,1.0, D,1.0, D,1.0,D,1.0, D,1.0, D,1.0, D,1.0,0.1825741858350553,Medium
12,id110,"Suppose Unix did not provide a way of passing file descriptors between processes, but still allowed inheriting file descriptors from a parent on fork and exec. What aspects of the OKWS design would break without file descriptor passing?
1. It would be impossible for services to send messages to oklogd.
2. It would be impossible for services to get a TCP connection to a database proxy.","True, TrueSALILSPLITCHECKFalse, False (correct)SALILSPLITCHECKTrue, FalseSALILSPLITCHECKFalse, True",A,0.0,A,0.0,A,0.0,D,0.0, A,0.0, D,0.0, C,0.0,C,0.0, C,0.0, C,0.0,A,0.0, D,0.0, A,0.0,C,0.0,C,0.0,C,0.0, D,0.0, C,0.0,C,0.0,A,0.0,C,0.0,B,1.0, A,0.0, C,0.0, C,0.0, C,0.0,C,0.0, A,0.0, C,0.0, A,0.0,0.18257418583505533,Medium
94,id84,1. _________ framework made cracking of vulnerabilities easy like point and click.,.NetSALILSPLITCHECKMetasploit (correct)SALILSPLITCHECKZeusSALILSPLITCHECKEttercap,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0, A,0.0,0.18257418583505536,Medium
72,id64,What is a web proxy?,"A piece of software that intercepts and possibly modifies requests (and responses) between a web browser and web server (correct)SALILSPLITCHECKAn agent that makes decisions on the client's behalf when interacting with web applicationsSALILSPLITCHECKA piece of software that makes a web application look like a standalone application, making it easier to testSALILSPLITCHECKA simulator for the web, for use when off-line",A,1.0,A,1.0,A,1.0,A,1.0, A,1.0, A,1.0, A,1.0,A,1.0, A,1.0, A,1.0,A,1.0, A,1.0, A,1.0,A,1.0,A,1.0,A,1.0, A,1.0, A,1.0,A,1.0,A,1.0,A,1.0,A,1.0, A,1.0, A,1.0, A,1.0, A,1.0,A,1.0, A,1.0, A,1.0, C,0.0,0.18257418583505536,Medium
