,instance_id,input.text,references,predicted_text_0,stats.exact_match_0,predicted_text_1,stats.exact_match_1,predicted_text_2,stats.exact_match_2,predicted_text_3,stats.exact_match_3,predicted_text_4,stats.exact_match_4,predicted_text_5,stats.exact_match_5,predicted_text_6,stats.exact_match_6,predicted_text_7,stats.exact_match_7,predicted_text_8,stats.exact_match_8,predicted_text_9,stats.exact_match_9,predicted_text_10,stats.exact_match_10,predicted_text_11,stats.exact_match_11,predicted_text_12,stats.exact_match_12,predicted_text_13,stats.exact_match_13,predicted_text_14,stats.exact_match_14,predicted_text_15,stats.exact_match_15,predicted_text_16,stats.exact_match_16,predicted_text_17,stats.exact_match_17,predicted_text_18,stats.exact_match_18,predicted_text_19,stats.exact_match_19,predicted_text_20,stats.exact_match_20,predicted_text_21,stats.exact_match_21,predicted_text_22,stats.exact_match_22,predicted_text_23,stats.exact_match_23,predicted_text_24,stats.exact_match_24,predicted_text_25,stats.exact_match_25,predicted_text_26,stats.exact_match_26,predicted_text_27,stats.exact_match_27,predicted_text_28,stats.exact_match_28,predicted_text_29,stats.exact_match_29,std,agreement_level
48,id42,What are the key elements of the Liberal approach to US foreign policy?,"Promotion of Democracy, free-trade and international institutions (correct)SALILSPLITCHECKAlliances, diplomacy and protectionismSALILSPLITCHECKThe balance of power, self-sufficiency and prudenceSALILSPLITCHECKNone of the above",A,1.0,A,1.0,A,1.0,A,1.0, B,0.0,A,1.0,A,1.0, A,1.0, A,1.0, A,1.0,A,1.0, A,1.0, A,1.0, A,1.0, A,1.0, A,1.0,A,1.0, A,1.0,A,1.0,A,1.0,A,1.0,A,1.0,A,1.0, A,1.0, A,1.0, A,1.0, A,1.0, A,1.0, A,1.0,A,1.0,0.18257418583505525,Medium
47,id41,"The idea that war is ""the continuation of politics by other means"" helps to capture",diplomacy is the quietest instrument of influence in global politics.SALILSPLITCHECKthe way political parties fight with each other.SALILSPLITCHECKthe idea that governments use their military to help pursue policy goals. (correct)SALILSPLITCHECKthe way Democrats and Republicans differ over the war in Iraq.,C,1.0,C,1.0,C,1.0,C,1.0, D,0.0,C,1.0,C,1.0, C,1.0, C,1.0, C,1.0,C,1.0, C,1.0, C,1.0, C,1.0, C,1.0, C,1.0,C,1.0, C,1.0,C,1.0,C,1.0,C,1.0,C,1.0,C,1.0, C,1.0, C,1.0, C,1.0, C,1.0, C,1.0, C,1.0,C,1.0,0.18257418583505525,Medium
88,id79,"According to Rosenau, which factor is important to consider in explaining the foreign policy behavior of the United States?","The external environment of the international systemSALILSPLITCHECKDomestic environment, government and bureaucracySALILSPLITCHECKThe President's individual personality.SALILSPLITCHECKAll of the above (correct)",A,0.0,D,1.0,D,1.0,D,1.0, D,1.0,D,1.0,D,1.0, D,1.0, D,1.0, D,1.0,D,1.0, D,1.0, D,1.0, D,1.0, D,1.0, D,1.0,D,1.0, D,1.0,D,1.0,D,1.0,D,1.0,D,1.0,D,1.0, D,1.0, D,1.0, D,1.0, D,1.0, D,1.0, D,1.0,D,1.0,0.18257418583505525,Medium
37,id31,What did the Moscow Treaty on Strategic Offensive Reductions do?,Required the United States and Russia to demobilize their armiesSALILSPLITCHECKRequired the United States and Russia to dismantle a significant number of their nuclear weapons (correct)SALILSPLITCHECKProhibited the acquisition of new military basesSALILSPLITCHECKProhibited short-range nuclear weapons,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0,B,1.0,B,1.0, B,1.0, A,0.0, B,1.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0, B,1.0,B,1.0,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0,0.18257418583505527,Medium
82,id73,Global and regional international trade agreements work by using which of the following mechanisms?,Reciprocity across multiple issuesSALILSPLITCHECKReputational concerns of the actorsSALILSPLITCHECKSide payments for adjusting to the organization (such as the Common Agricultural Policy in the EU)SALILSPLITCHECKALL of the above (correct),D,1.0,D,1.0,D,1.0,D,1.0, D,1.0,D,1.0,D,1.0, D,1.0, A,0.0, D,1.0,D,1.0, D,1.0, D,1.0, D,1.0, D,1.0, D,1.0,D,1.0, D,1.0,D,1.0,D,1.0,D,1.0,D,1.0,D,1.0, D,1.0, D,1.0, D,1.0, D,1.0, D,1.0, D,1.0,D,1.0,0.18257418583505527,Medium
81,id72,What was meant by the term 'American multiplication table'?,Increase in the US population (correct)SALILSPLITCHECKIncrease in US financesSALILSPLITCHECKIncrease in US military capabilitySALILSPLITCHECKIncrease in US international influence,D,0.0,D,0.0,D,0.0,D,0.0, B,0.0,C,0.0,D,0.0, D,0.0, B,0.0, D,0.0,C,0.0, D,0.0, C,0.0, D,0.0, C,0.0, D,0.0,D,0.0, B,0.0,D,0.0,D,0.0,D,0.0,D,0.0,D,0.0, D,0.0, A,1.0, C,0.0, C,0.0, C,0.0, D,0.0,D,0.0,0.18257418583505533,Medium
0,id10,What is soft power?,"Use of coercive measures short of war, such as economic sanctionsSALILSPLITCHECKWays in which the values and culture of a country provide it with influence in the international system (correct)SALILSPLITCHECKIneffective use of one's powerSALILSPLITCHECKWhen states use carrots (incentives) instead of sticks (threats) to influence other countries.",B,1.0,B,1.0,B,1.0,B,1.0, C,0.0,B,1.0,B,1.0, B,1.0, D,0.0, B,1.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0, B,1.0,B,1.0,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0,0.2537081317024625,Medium
54,id48,Which of the following are possible constraints on US foreign policy decision making?,Foreign policies of other statesSALILSPLITCHECKInternational lawSALILSPLITCHECKIntergovernmental organizationsSALILSPLITCHECKAll of the above (correct),D,1.0,D,1.0,D,1.0,D,1.0, B,0.0,D,1.0,D,1.0, D,1.0, A,0.0, D,1.0,D,1.0, D,1.0, D,1.0, D,1.0, D,1.0, D,1.0,D,1.0, D,1.0,D,1.0,D,1.0,D,1.0,D,1.0,D,1.0, D,1.0, D,1.0, D,1.0, D,1.0, D,1.0, D,1.0,D,1.0,0.2537081317024625,Medium
71,id63,The Vietnam War can be understood as,"a war that deeply divided the United States and fostered cynicism toward the American government.SALILSPLITCHECKan example of the doctrine of containment, because U.S. involvement was designed to prevent the fall of South Vietnam to the communists.SALILSPLITCHECKan example of how even a great power may not be able to prevail against a determined enemy unless there is a clear objective and the national will to do so.SALILSPLITCHECKAll of the above are true. (correct)",D,1.0,D,1.0,D,1.0,D,1.0, A,0.0,D,1.0,D,1.0, D,1.0, B,0.0, D,1.0,D,1.0, D,1.0, D,1.0, D,1.0, D,1.0, D,1.0,D,1.0, D,1.0,D,1.0,D,1.0,D,1.0,D,1.0,D,1.0, D,1.0, D,1.0, D,1.0, D,1.0, D,1.0, D,1.0,D,1.0,0.2537081317024625,Medium
50,id44,What case did President Eisenhower make against the 'military-industrial complex' in his farewell speech?,That the capitalist search for profits was the leading cause of armed conflictSALILSPLITCHECKThat the United States no longer needed to be militarily strongSALILSPLITCHECKThat military spending gave the arms industry unwarranted influence on politics and government (correct)SALILSPLITCHECKThat private companies would undermine the role of the Armed Forces,C,1.0,C,1.0,C,1.0,C,1.0, B,0.0,C,1.0,C,1.0, C,1.0, C,1.0, C,1.0,C,1.0, C,1.0, C,1.0, C,1.0, C,1.0, C,1.0,C,1.0, B,0.0,C,1.0,C,1.0,C,1.0,C,1.0,C,1.0, C,1.0, C,1.0, C,1.0, C,1.0, C,1.0, C,1.0,C,1.0,0.2537081317024625,Medium
